case,time_min,feed_kmol_min,x_bottom,x_feed,x_top,M_bottom_kmol,M_feed_kmol,M_top_kmol,distillate_light_kmol_min,bottoms_light_kmol_min,total_inventory_kmol,light_inventory_kmol,max_abs_x_v2_minus_reference,max_abs_M_v2_minus_reference_kmol
nominal_profile_drift,470.0,1.0,0.010000040363766389,0.4987249388418479,0.9899999595846023,0.5,0.5,0.5,0.49499997979230115,0.005000020181883194,20.5,10.252526860449914,7.216449660063518e-16,0.0
nominal_profile_drift,480.0,1.0,0.010000040365203843,0.49872493885472585,0.9899999595857595,0.5,0.5,0.5,0.49499997979287974,0.005000020182601921,20.5,10.252526860701527,7.216449660063518e-16,0.0
nominal_profile_drift,490.0,1.0,0.010000040366569067,0.4987249388669567,0.989999959586858,0.5,0.5,0.5,0.494999979793429,0.005000020183284533,20.5,10.252526860940499,4.440892098500626e-16,0.0
nominal_profile_drift,500.0,1.0,0.010000040367865677,0.49872493887857283,0.9899999595879017,0.5,0.5,0.5,0.49499997979395083,0.0050000201839328386,20.5,10.252526861167462,6.661338147750939e-16,0.0
feed_plus_1_percent,0.0,1.01,0.01,0.49872493204438,0.99,0.5,0.5,0.5,0.495,0.005,20.5,10.252526848610952,0.0,0.0
feed_plus_1_percent,10.0,1.01,0.010521162631355926,0.5009125395325228,0.9900108082098132,0.5874000000002454,0.5006299999999999,0.5,0.4950054041049066,0.005260581315677963,20.599999999999994,10.301236011123235,4.440892098500626e-16,4.6629367034256575e-15
feed_plus_1_percent,20.0,1.01,0.010911345079375094,0.5031924670631146,0.9900933834644908,0.6873999999999867,0.50063,0.5,0.4950466917322454,0.005455672539687547,20.699999999999996,10.347383565050771,7.771561172376096e-16,1.432187701766452e-14
feed_plus_1_percent,30.0,1.01,0.011232509984298845,0.5053173255416196,0.9902277105257531,0.7874000000000018,0.5006300000000001,0.5,0.49511385526287655,0.005616254992149423,20.799999999999997,10.391214889279482,6.661338147750939e-16,3.552713678800501e-15
feed_plus_1_percent,40.0,1.01,0.011520447184602644,0.5073042143227491,0.9903784055685864,0.8873999999999953,0.50063,0.5,0.4951892027842932,0.005760223592301322,20.9,10.43280957436337,5.551115123125783e-16,2.886579864025407e-15
feed_plus_1_percent,50.0,1.01,0.011789814047057099,0.5091679490491542,0.9905287637614743,0.9873999999999977,0.5006299999999999,0.5,0.4952643818807371,0.005894907023528549,21.0,10.472257973865643,6.661338147750939e-16,8.881784197001252e-16
feed_plus_1_percent,60.0,1.01,0.012047009148365989,0.5109178867935273,0.9906721066305441,1.0874000000000001,0.5006299999999999,0.5,0.49533605331527203,0.006023504574182994,21.1,10.509655810690575,3.3306690738754696e-16,1.3322676295501878e-15
feed_plus_1_percent,70.0,1.01,0.012294770118720794,0.5125610138376345,0.990806146382148,1.1873999999999991,0.5006299999999999,0.5,0.495403073191074,0.006147385059360397,21.2,10.545098054667402,7.771561172376096e-16,4.440892098500626e-16
feed_plus_1_percent,80.0,1.01,0.01253419859212197,0.5141033301265789,0.9909304442891084,1.2873999999999985,0.50063,0.5,0.4954652221445542,0.006267099296060985,21.299999999999997,10.57867677057238,5.551115123125783e-16,2.886579864025407e-15
feed_plus_1_percent,90.0,1.01,0.012765678892161073,0.515550367298783,0.9910453097875139,1.3873999999999993,0.50063,0.5,0.49552265489375696,0.006382839446080537,21.4,10.610480591945674,4.440892098500626e-16,1.1102230246251565e-15
feed_plus_1_percent,100.0,1.01,0.012989296039369175,0.5169073716767901,0.9911513281828167,1.4873999999999992,0.50063,0.5,0.49557566409140835,0.006494648019684588,21.5,10.6405947322549,5.551115123125783e-16,4.440892098500626e-16
feed_plus_1_percent,110.0,1.01,0.01320502540660663,0.518179364558433,0.9912491606597079,1.5873999999999997,0.5006299999999999,0.5,0.49562458032985396,0.006602512703303315,21.599999999999998,10.669101137499617,1.6254358969902682e-15,5.551115123125783e-16
feed_plus_1_percent,120.0,1.01,0.013412817954113953,0.5193711596631811,0.9913394620591234,1.687399999999999,0.50063,0.5,0.4956697310295617,0.006706408977056977,21.699999999999996,10.696078650041382,3.58046925441613e-15,4.440892098500626e-16
feed_plus_1_percent,130.0,1.01,0.013612637580694729,0.5204873669679273,0.9914228493734527,1.7874000000000003,0.5006299999999999,0.5,0.49571142468672635,0.006806318790347364,21.799999999999997,10.72160314796926,2.6645352591003757e-15,3.3306690738754696e-16
feed_plus_1_percent,140.0,1.01,0.01380447643284194,0.5215323932526771,0.9914998918421124,1.8874000000000006,0.5006299999999999,0.5,0.4957499459210562,0.00690223821642097,21.900000000000002,10.745747655690835,2.220446049250313e-15,1.3322676295501878e-15
feed_plus_1_percent,150.0,1.01,0.013988360019564997,0.5225104427556192,0.9915711100112659,1.9874000000000032,0.5006300000000001,0.5,0.4957855550056329,0.006994180009782499,22.0,10.768582430480528,1.609823385706477e-15,4.6629367034256575e-15
feed_plus_1_percent,160.0,1.01,0.014164347592366377,0.5234255188833745,0.9916369782971721,2.0874,0.5006300000000001,0.5,0.49581848914858606,0.007082173796183189,22.1,10.790175031301407,1.6653345369377348e-15,2.6645352591003757e-15
feed_plus_1_percent,170.0,1.01,0.014332530329545496,0.5242814270966027,0.9916979287183358,2.187400000000001,0.5006299999999999,0.5,0.4958489643591679,0.007166265164772748,22.200000000000003,10.81059037556994,1.609823385706477e-15,1.3322676295501878e-15
feed_plus_1_percent,180.0,1.01,0.014493028523679955,0.5250817788428378,0.9917543548232919,2.2874000000000025,0.5006299999999999,0.5,0.49587717741164594,0.0072465142618399776,22.300000000000004,10.829890788432868,1.4988010832439613e-15,3.552713678800501e-15
feed_plus_1_percent,190.0,1.01,0.014645988353256853,0.5258299963536194,0.9918066154298786,2.3874000000000044,0.50063,0.5,0.4959033077149393,0.0073229941766284265,22.400000000000002,10.84813604805289,1.5543122344752192e-15,6.217248937900877e-15
feed_plus_1_percent,200.0,1.01,0.014791578531209337,0.5265293181279058,0.9918550380446551,2.487400000000003,0.5006299999999999,0.5,0.49592751902232757,0.007395789265604668,22.500000000000004,10.86538342950738,1.5543122344752192e-15,4.884981308350689e-15
feed_plus_1_percent,210.0,1.01,0.014929986985783935,0.5271828049439539,0.9918999219365962,2.5874000000000037,0.5006300000000002,0.5,0.4959499609682981,0.007464993492891967,22.600000000000005,10.881687749178907,1.27675647831893e-15,4.884981308350689e-15
feed_plus_1_percent,220.0,1.01,0.01506141766127639,0.5277933462633663,0.9919415408809185,2.687400000000003,0.50063,0.5,0.49597077044045923,0.007530708830638195,22.700000000000003,10.897101410936221,9.43689570931383e-16,4.440892098500626e-15
feed_plus_1_percent,230.0,1.01,0.015186087490456284,0.528363666910534,0.9919801456032226,2.787400000000004,0.5006299999999999,0.5,0.4959900728016113,0.007593043745228142,22.800000000000004,10.911674454942709,9.992007221626409e-16,6.217248937900877e-15
feed_plus_1_percent,240.0,1.01,0.015304223570001716,0.5288963339277668,0.9920159659570414,2.887400000000005,0.5006299999999999,0.5,0.4960079829785207,0.007652111785000858,22.900000000000006,10.925454609564543,8.881784197001252e-16,7.105427357601002e-15
feed_plus_1_percent,250.0,1.01,0.015416060557263973,0.5293937635213268,0.9920492128663282,2.987400000000006,0.50063,0.5,0.4960246064331641,0.007708030278631987,23.000000000000007,10.938487346566317,8.049116928532385e-16,6.217248937900877e-15
feed_plus_1_percent,260.0,1.01,0.015521838297641612,0.5298582280267111,0.9920800800612648,3.087400000000006,0.50063,0.5,0.4960400400306324,0.007760919148820806,23.10000000000001,10.950815939564052,7.771561172376096e-16,6.661338147750939e-15
feed_plus_1_percent,270.0,1.01,0.015621799685146348,0.5302918628331083,0.9921087456323991,3.1874000000000056,0.5006300000000001,0.5,0.4960543728161996,0.007810899842573174,23.200000000000003,10.962481525543083,7.771561172376096e-16,7.549516567451064e-15
feed_plus_1_percent,280.0,1.01,0.015716188753608664,0.5306966732171969,0.9921353734248627,3.2874000000000043,0.5006299999999999,0.5,0.49606768671243134,0.007858094376804332,23.300000000000008,10.973523169132136,6.661338147750939e-16,4.440892098500626e-15
feed_plus_1_percent,290.0,1.01,0.01580524899201383,0.5310745410455017,0.9921601142915591,3.3874000000000066,0.5006299999999998,0.5,0.4960800571457796,0.007902624496006915,23.400000000000006,10.983977929246432,8.881784197001252e-16,6.661338147750939e-15
feed_plus_1_percent,300.0,1.01,0.01588922187444759,0.5314272313124541,0.9921831072217039,3.4874000000000067,0.5006300000000001,0.5,0.49609155361085194,0.007944610937223795,23.500000000000007,10.993880927665138,6.661338147750939e-16,8.43769498715119e-15
feed_plus_1_percent,310.0,1.01,0.01596834559291842,0.5317563984882586,0.9922044803589376,3.5874000000000064,0.5006299999999999,0.5,0.4961022401794688,0.00798417279645921,23.60000000000001,11.003265419085508,6.106226635438361e-16,7.993605777301127e-15
